Date,Open,High,Low,Close,Volume,Adj Close
2011-10-27,30.45,31.59,30.10,31.08,2471600,31.08
2011-10-26,29.14,29.95,28.85,29.30,995600,29.30
2011-10-25,29.86,30.15,28.92,29.36,1220700,29.36
2011-10-24,29.04,30.07,28.58,29.95,1295900,29.95
2011-10-21,27.34,28.78,27.30,28.67,1731300,28.67
2011-10-20,27.40,28.00,27.10,27.16,1487000,27.16
2011-10-19,28.13,28.50,27.67,27.95,1106200,27.95
2011-10-18,27.52,28.13,27.01,27.75,1328700,27.75
2011-10-17,29.33,29.83,27.80,28.01,1636600,28.01
2011-10-14,29.11,29.75,28.75,28.89,1425800,28.89
2011-10-13,28.99,30.36,28.82,28.96,2087800,28.96
2011-10-12,27.90,28.98,27.38,28.96,1657800,28.96
2011-10-11,28.36,28.36,27.50,28.10,1093100,28.10
2011-10-10,27.45,28.49,27.11,28.31,1521400,28.31
2011-10-07,27.80,28.11,27.19,27.30,1378600,27.30
2011-10-06,26.34,28.19,26.30,27.92,2495300,27.92
2011-10-05,24.50,26.06,24.42,26.05,2192400,26.05
2011-10-04,25.65,25.65,23.38,23.96,3037600,23.96
2011-10-03,25.41,26.42,25.11,26.18,2056100,26.18
2011-09-30,26.00,26.32,25.41,26.00,1915800,26.00
2011-09-29,24.86,26.11,24.86,26.11,1362500,26.11
2011-09-28,25.50,26.18,24.88,25.09,1688900,25.09
2011-09-27,24.39,26.08,24.00,26.08,2105700,26.08
2011-09-26,23.03,24.45,22.93,23.60,1771900,23.60
2011-09-23,23.61,23.69,22.28,23.55,1798100,23.55
2011-09-22,24.57,24.58,23.33,23.33,1658800,23.33
2011-09-21,25.86,25.99,25.15,25.25,1234500,25.25
2011-09-20,25.20,26.00,25.12,25.74,1246500,25.74
2011-09-19,25.64,26.05,25.25,25.29,1295300,25.29
2011-09-16,26.20,27.00,25.57,26.33,1999600,26.33
2011-09-15,25.48,26.24,25.30,25.91,1841000,25.91
2011-09-14,24.16,25.22,24.16,25.20,1695600,25.20
2011-09-13,24.35,24.56,22.90,24.55,2467900,24.55
2011-09-12,24.85,24.85,23.57,23.86,2748400,23.86
2011-09-09,26.97,27.24,25.43,25.50,2168500,25.50
2011-09-08,26.92,27.48,26.51,27.03,1289400,27.03
2011-09-07,26.50,26.89,26.17,26.88,1279300,26.88
2011-09-06,26.24,26.80,25.43,25.68,1896800,25.68
2011-09-05,27.23,27.24,25.94,26.29,1689000,26.29
2011-09-02,28.62,28.68,27.49,27.70,1571000,27.70
2011-09-01,29.28,29.39,28.28,29.10,1309600,29.10
2011-08-31,28.27,29.05,28.06,29.05,1757600,29.05
2011-08-30,28.44,28.50,27.87,28.14,984100,28.14
2011-08-29,28.01,28.24,27.75,28.14,1069100,28.14
2011-08-26,27.97,27.99,26.92,27.42,1555400,27.42
2011-08-25,28.42,28.68,27.76,28.08,2542500,28.08
2011-08-24,27.83,28.33,27.16,28.05,2659400,28.05
2011-08-23,27.98,28.14,27.25,27.56,1250900,27.56
2011-08-22,27.25,28.01,27.12,27.24,1476300,27.24
2011-08-19,26.92,28.14,25.86,27.61,4057200,27.61
2011-08-18,28.70,28.76,26.70,27.01,3197900,27.01
2011-08-17,29.16,29.50,28.71,29.09,1286200,29.09
2011-08-16,29.50,29.64,28.72,29.24,1186600,29.24
2011-08-15,29.71,29.83,29.03,29.61,1389600,29.61
2011-08-12,29.07,29.56,28.00,29.34,2857600,29.34
2011-08-11,28.72,29.23,27.09,29.01,3685000,29.01
2011-08-10,30.30,30.85,27.85,27.95,2841600,27.95
2011-08-09,28.85,29.95,27.12,29.56,3472500,29.56
2011-08-08,30.20,31.24,28.85,28.89,3032500,28.89
2011-08-05,30.56,32.08,30.33,30.86,3546600,30.86
2011-08-04,33.84,33.85,31.63,31.74,3690500,31.74
2011-08-03,33.60,33.94,32.79,33.28,2719400,33.28
2011-08-02,35.50,35.81,34.22,34.33,2240000,34.33
2011-08-01,37.97,38.02,35.65,35.69,2427500,35.69
2011-07-29,37.40,37.79,37.20,37.38,2141600,37.38
2011-07-28,38.00,38.85,37.23,37.68,2587400,37.68
2011-07-27,39.76,40.26,39.60,39.69,1944500,39.69
2011-07-26,40.13,40.38,39.84,40.15,1294600,40.15
2011-07-25,39.76,40.34,39.76,39.99,1040400,39.99
2011-07-22,40.50,41.04,39.61,40.12,1456600,40.12
2011-07-21,38.97,39.96,38.22,39.74,2121800,39.74
2011-07-20,38.35,38.87,38.08,38.72,1568900,38.72
2011-07-19,37.58,38.24,37.42,37.99,1188500,37.99
2011-07-18,38.26,38.29,37.38,37.47,2135200,37.47
2011-07-15,39.25,39.40,38.30,38.56,1537700,38.56
2011-07-14,40.22,40.50,39.51,39.60,1936200,39.60
2011-07-13,39.05,39.72,38.72,39.63,1218400,39.63
2011-07-12,39.18,39.28,38.19,39.09,1694300,39.09
2011-07-11,41.00,41.29,39.46,39.79,1779800,39.79
2011-07-08,41.96,42.06,41.03,41.10,1434200,41.10
2011-07-07,41.94,42.03,41.58,41.58,1093300,41.58
2011-07-06,41.90,42.03,41.41,41.65,1323000,41.65
2011-07-05,42.29,42.44,41.56,41.81,1288400,41.81
2011-07-04,42.45,42.60,42.26,42.35,650200,42.35
2011-07-01,42.94,43.17,42.30,42.40,1868700,42.40
2011-06-30,43.42,44.01,42.92,43.94,1173700,43.94
